simulation_id,radius,gravity,rotation_period,surface_pressure,co2,ch4,stellar_flux,stellar_temperature,gcm_label,is_target_gcm,in_target_physical_domain,planet_id,source
0,5850000.0,8.07,11.5,146000.0,0.0,0.0,1160.0,2910.0,exocam,True,True,0,this work
1,6550000.0,8.86,8.6,164000.0,0.0,5.37e-05,1070.0,2750.0,exocam,True,True,1,this work
2,7440000.0,14.0,11.1,113000.0,0.00828,0.0,1030.0,2800.0,exocam,True,True,2,this work
3,6580000.0,8.4,18.6,206000.0,0.0,0.0,964.0,3290.0,exocam,True,True,3,this work
4,6520000.0,9.12,10.8,330000.0,0.0,0.0,1240.0,2830.0,exocam,True,True,4,this work
5,7340000.0,13.2,12.3,98000.0,0.0,1.73e-05,811.0,2820.0,exocam,True,True,5,this work
6,7650000.0,13.4,7.05,134000.0,3.37e-06,0.0,1190.0,2600.0,exocam,True,True,6,this work
7,6630000.0,9.98,13.7,336000.0,0.000418,0.0,884.0,3200.0,exocam,True,True,7,this work
8,6720000.0,9.03,50.7,105000.0,0.0,0.0,881.0,3690.0,exocam,True,True,8,this work
9,6450000.0,7.61,93.6,191000.0,0.00126,0.0,1050.0,4220.0,exocam,True,True,9,this work
10,6160000.0,8.86,14.2,251000.0,0.00571,0.000173,1370.0,3040.0,exocam,True,True,10,this work
11,6910000.0,10.5,55.0,150000.0,0.0,4.84e-08,1190.0,3960.0,exocam,True,True,11,this work
12,5930000.0,7.55,5.39,410000.0,0.0,2.97e-05,1060.0,2780.0,exocam,True,True,12,this work
13,7620000.0,12.2,7.54,219000.0,0.0,2.6e-06,1260.0,2930.0,exocam,True,True,13,this work
14,7310000.0,11.1,10.6,96100.0,0.0,0.0,1130.0,2870.0,exocam,True,True,14,this work
15,7590000.0,12.1,5.8,411000.0,2.22e-05,7.37e-08,1410.0,2630.0,exocam,True,True,15,this work
16,6260000.0,9.2,7.6,124000.0,0.00357,0.0,821.0,2600.0,exocam,True,True,16,this work
17,6890000.0,10.9,8.31,347000.0,0.0,0.00172,1310.0,2690.0,exocam,True,True,17,this work
18,6440000.0,9.52,45.8,182000.0,1.91e-06,0.0,1340.0,3710.0,exocam,True,True,18,this work
19,6250000.0,10.1,9.57,270000.0,0.0,0.0,1070.0,3090.0,exocam,True,True,19,this work
20,5610000.0,8.1,15.7,393000.0,0.48,0.000613,812.0,2890.0,exocam,True,True,20,this work
21,6590000.0,8.06,18.4,136000.0,0.116,5.84e-08,1080.0,3040.0,exocam,True,True,21,this work
22,6140000.0,8.97,20.7,90900.0,0.0,3.65e-07,1110.0,3260.0,exocam,True,True,22,this work
23,6360000.0,8.61,5.81,295000.0,0.0149,0.0,1210.0,2790.0,exocam,True,True,23,this work
24,6290000.0,8.38,8.76,191000.0,0.888,0.0,1030.0,2700.0,exocam,True,True,24,this work
25,7008100.000000001,8.74,10.35,110000.00000000001,0.090909,0.0,911.87,3024.0,exocam,True,True,25,Hammond et al. [2025]
26,7008100.000000001,8.74,10.35,100010.0,0.0001,0.0,911.87,3024.0,exocam,True,True,26,Hammond et al. [2025]
27,7008100.000000001,8.74,10.35,200000.0,1.0,0.0,911.87,3024.0,exocam,True,True,27,Hammond et al. [2025]
28,7836330.0,10.61,13.03,110000.00000000001,0.090909,0.0,816.6,2953.0,exocam,True,True,28,Hammond et al. [2025]
29,7836330.0,10.61,13.03,100010.0,0.0001,0.0,816.6,2953.0,exocam,True,True,29,Hammond et al. [2025]
30,7836330.0,10.61,13.03,200000.0,1.0,0.0,816.6,2953.0,exocam,True,True,30,Hammond et al. [2025]
31,8709157.0,13.1,8.46,110000.00000000001,0.090909,0.0,1233.066,2871.0,exocam,True,True,31,Hammond et al. [2025]
32,8709157.0,13.1,8.46,100010.0,0.0001,0.0,1233.066,2871.0,exocam,True,True,32,Hammond et al. [2025]
33,8709157.0,13.1,8.46,200000.0,1.0,0.0,1233.066,2871.0,exocam,True,True,33,Hammond et al. [2025]
34,7008100.000000001,10.88,11.2,110000.00000000001,0.090909,0.0,877.845,3050.0,exocam,True,True,34,Hammond et al. [2025]
35,7008100.000000001,10.88,11.2,100010.0,0.0001,0.0,877.845,3050.0,exocam,True,True,35,Hammond et al. [2025]
36,7008100.000000001,10.88,11.2,200000.0,1.0,0.0,877.845,3050.0,exocam,True,True,36,Hammond et al. [2025]
37,5861320.0,8.01,6.1,110000.00000000001,0.090909,0.0,879.206,2566.0,exocam,True,True,37,Hammond et al. [2025]
38,5861320.0,8.01,6.1,100010.0,0.0001,0.0,879.206,2566.0,exocam,True,True,38,Hammond et al. [2025]
39,5861320.0,8.01,6.1,200000.0,1.0,0.0,879.206,2566.0,exocam,True,True,39,Hammond et al. [2025]
40,6689550.0,9.86,11.41,110000.00000000001,0.090909,0.0,503.57,2904.0,exocam,True,True,40,Hammond et al. [2025]
41,6689550.0,9.86,11.41,100010.0,0.0001,0.0,503.57,2904.0,exocam,True,True,41,Hammond et al. [2025]
42,6689550.0,9.86,11.41,200000.0,1.0,0.0,503.57,2904.0,exocam,True,True,42,Hammond et al. [2025]
43,6880680.0,10.58,15.6,110000.00000000001,0.090909,0.0,887.3720000000001,3158.0,exocam,True,True,43,Hammond et al. [2025]
44,6880680.0,10.58,15.6,100010.0,0.0001,0.0,887.3720000000001,3158.0,exocam,True,True,44,Hammond et al. [2025]
45,6880680.0,10.58,15.6,200000.0,1.0,0.0,887.3720000000001,3158.0,exocam,True,True,45,Hammond et al. [2025]
46,6371000.0,9.807,1.0,100000.0,0.0,0.0,740.384,2600.0,exocam-pre2022,False,True,46,Komacek and Abbot [2019]
47,6371000.0,9.807,6.49,100000.0,0.0,0.0,740.384,2600.0,exocam-pre2022,False,True,47,Komacek and Abbot [2019]
48,6371000.0,9.807,1.0,100000.0,0.0,0.0,907.787,2600.0,exocam-pre2022,False,True,48,Komacek and Abbot [2019]
49,6371000.0,9.807,5.57,100000.0,0.0,0.0,907.787,2600.0,exocam-pre2022,False,True,49,Komacek and Abbot [2019]
50,6371000.0,9.807,1.0,100000.0,0.0,0.0,1110.576,2600.0,exocam-pre2022,False,True,50,Komacek and Abbot [2019]
