subset,protocol,method,seed,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,shared_planets,coord_deeponet,0,relative_rmse,surface_temperature,0.8678079843521118,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,0,relative_rmse,temperature,0.911858856678009,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,0,relative_rmse,specific_humidity_dex,0.8018422722816467,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,0,relative_rmse,cloud_fraction,0.3486017882823944,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,0,relative_rmse,u,0.8948959708213806,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,0,relative_rmse,v,0.8459789156913757,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,0,relative_rmse,asr,0.9772427678108215,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,0,relative_rmse,olr,0.7366834878921509,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,0,relative_acc,surface_temperature,1.041921854019165,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
multi-partial,shared_planets,coord_deeponet,0,relative_acc,temperature,5.099559783935547,results/models/multi-partial/coord_deeponet/metrics_shared_planets.json,results/models/multi-partial/coord_deeponet/predictions_shared_planets.npz,results/models/multi-partial/coord_deeponet/config.json
